capability/category,category_metrics_product,Channel,Channel_attribute
,,Phone,"Free from ""Update"""
,,Positive Feedback,Free From Area Slug Error
,,Priority Lists,Free From Channel Slug Error
,,Priority Lists,Free From DD Slug Error
,,Security,Free From FY Slug Error
,,Bot Operators Reply within SLA,Free From GEP Slug Error
,,Business Applications,Free From GEP Tag Error
,,Business Applications,Free from Hard Bounces
,,By Area,Free From Invalid/Misaligned GEP Scenario Tag
,,By Model,Free From Invalid/Misaligned GEP Tag
,,By Priority List,Free From MM Slug Error
,,By Priority List (SFT),Free from Space
,,By Priority Lists,Free from Spam Blocks
,,By Segment Group,Free From Undefined
,,By Solution Area,Free from undefined GEP Slug
,,By Source,Frontline Workers
,,By Source System,Germany
,,Company Name,Github
,,Country,Greater China
,,Data and AI,Host
,,Data and AI,Incorrect Email
,,Developer Enablement Skilling Reactor (CnE-WindowsATP),Incorrect JobTitle
,,Digital and Application Innovation,Incorrect Phone
,,Digital and Application Innovation,India
,,Dynamics (AdminTrial),Innovate with AI in Low Code
,,Dynamics (Viral),Invalid Email
,,Email,ISV
,,Events (D365 Event Management),Japan
,,Events (EventCore/Stova),Job Title
,,First Name,Korea
,,Free from Hard Bounces,Last Name
,,Friendly Name populated,Latam
,,Friendly Name valid,Leads
,,Friendly Name populated,Major
,,Friendly Name valid,Major Growth
,,General Use (ListUpload),Marketing Play
,,GitHub (GitHub),Migrate and Secure Windows Server SQL and Linux Estate
,,Infrastructure,Modern Work
,,Job Role,Modern Work GSS
,,Job Title,Modern Workplace
,,Landing Page URL populated,Modern Workplace - Customer Acquisition
,,Landing Page URL valid,Modernize ERP
,,Landing Page URL populated,Modernize Service
,,Landing Page URL valid,MSX
,,Last Name,Netherlands
,,Marketing Play populated,No Token Missing
,,Marketing Play valid,Non-ABM Targeted
,,Marketing Play populated,Not Blocked by Communication Limits
,,Marketing Play valid,Not Blocked by Consent Suppressions
,,Modern Work,Operational Batch Data
,,Modern Work,Others
,,Modern Work (Admin),Others (Categorization in-progress)
,,Negative Feedback by Solution Area,Others (MLQML)
,,Paid Acquisition (Integrate),Owning Area
,,Partner Data (PRMOneGDC),Paid Acquisition
,,Phone,Paid Acquisition and Social
,,Planning (EMC),Paid Acquisition List (Current Quarter)
,,Positive Feedback by Solution Area,Paid Acquisition List (FY to Date)
,,Power Automate,Partner Data
,,PowerApps,Phone
,,PowerBI,Phone #
,,Priority Lists,Positive Feedback
,,Priority Lists,Primary Language
,,Program Name slugs valid,Program
,,Program Name slugs valid,Scenario
,,Scenario populated,Secure Productivity
,,Scenario valid,Security
,,Scenario populated,SMB
,,Scenario valid,SMC
,,Security,SMC-Corporate
,,Successful Deliveries,Strategic
,,Successful Sends,Subscriptions
,,Tickets Analyzed (# of Tickets),Switzerland
,,,Target Attendance
,,,Threat Protection
,,,Tier
,,,Trial Sign Ups
,,,UK
,,,Uncategorized
,,,Unify Your Intelligent Data and Analytics Platform
,,,United States
,,,Web and Product Sign Ups
,,,Western Europe
